City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,reims,49.1667,4.0833,7.41,75,0,4.12,FR,1680549093
299,hovd,48.0056,91.6419,-8.74,20,7,2.34,MN,1680549034
300,nueva concepcion,14.2,-91.3,34.22,42,49,7.3,GT,1680549097
301,pangnirtung,66.1451,-65.7125,-10.71,78,25,1.26,CA,1680549099
302,dolores,-36.3132,-57.6792,18.28,80,99,2.22,AR,1680549102
303,ganzhou,28.8184,115.4327,20.48,96,100,3.66,CN,1680549104
304,grindavik,63.8424,-22.4338,9.26,93,100,13.38,IS,1680549107
305,panaba,21.2833,-88.2667,36.31,28,10,6.31,MX,1680549109
306,sarangani,5.4033,125.4636,26.8,78,73,1.1,PH,1680549111
307,kalengwa,-13.4659,25.0027,17.22,97,70,2.12,ZM,1680549113
308,mokhsogollokh,61.4681,128.9203,-10.3,95,100,2.22,RU,1680549116
309,heyang,26.1011,107.473,18.55,80,0,2.76,CN,1680549118
310,mamallapuram,12.6264,80.1722,30.03,82,95,4.76,IN,1680549120
311,palmer,42.1584,-72.3287,14.02,35,20,9.26,US,1680548844
312,tezu,27.9167,96.1667,16.96,75,99,1.95,IN,1680549124
313,miri,4.4148,114.0089,24.06,88,100,2.44,MY,1680549129
314,henties bay,-22.116,14.2845,16.72,84,0,3.07,NA,1680549131
315,houma,29.5958,-90.7195,30.0,78,75,7.72,US,1680548862
316,souillac,-20.5167,57.5167,25.38,83,100,2.95,MU,1680549135
317,nioki,-2.7167,17.6833,25.32,76,100,0.83,CD,1680549138
318,laguna,38.421,-121.4238,13.49,35,0,8.23,US,1680549123
319,madimba,-10.4,40.3333,24.93,91,74,3.33,TZ,1680549142
320,kargasok,59.0556,80.8572,0.66,97,100,2.68,RU,1680549144
321,tessalit,20.1986,1.0114,29.39,5,0,4.31,ML,1680549147
322,atikokan,48.7555,-91.6216,-0.84,77,100,2.42,CA,1680549149
323,berlevag,70.8578,29.0864,0.0,74,100,11.83,NO,1680549151
324,kushmurun,52.4503,64.6311,0.4,82,20,2.36,KZ,1680549156
325,malaut,30.2167,74.4833,18.21,62,15,2.64,IN,1680549158
326,abonnema,4.7084,6.7931,25.12,85,89,2.37,NG,1680549160
327,dauphin,51.1494,-100.0502,-10.87,80,100,3.46,CA,1680549163
328,poya,-21.35,165.15,24.42,90,11,1.76,NC,1680549165
329,maglod,47.4426,19.3644,6.08,56,0,3.6,HU,1680549167
330,vila velha,-20.3297,-40.2925,26.97,58,75,6.17,BR,1680548958
331,haines junction,60.7522,-137.5108,-5.03,54,19,1.54,CA,1680549171
332,great sankey,53.3923,-2.6399,10.43,64,0,3.09,GB,1680549173
333,benguela,-12.5763,13.4055,26.8,81,98,0.69,AO,1680549176
334,roald,62.5833,6.1333,5.74,75,75,4.63,NO,1680549178
335,drayton valley,53.2168,-114.9854,1.58,62,63,0.92,CA,1680549180
336,uyuni,-20.4597,-66.825,17.91,29,16,5.92,BO,1680549183
337,erenhot,43.6475,111.9767,0.14,38,100,6.33,CN,1680549185
338,jiangyou,31.7667,104.7167,13.26,82,100,0.39,CN,1680549187
339,chhapar,27.8167,74.4,24.62,43,19,3.52,IN,1680549190
340,marystown,47.1666,-55.1483,-0.08,100,69,8.05,CA,1680549192
341,shache,38.4167,77.2406,15.18,7,100,4.92,CN,1680549199
342,bira,49.0,132.4667,2.71,47,100,4.78,RU,1680549201
343,iguatu,-6.3594,-39.2986,30.51,54,94,1.01,BR,1680549099
344,beringovskiy,63.05,179.3167,-14.93,94,97,5.68,RU,1680549206
345,flinders,-34.5833,150.8552,16.88,85,36,1.34,AU,1680549208
346,beloha,-25.1667,45.05,23.04,86,27,5.05,MG,1680549210
347,vila,42.0304,-8.1588,10.39,73,100,1.18,PT,1680549212
348,santa rosa,14.3122,121.1114,25.06,86,81,3.28,PH,1680549214
349,matara,5.9485,80.5353,24.97,87,72,0.56,LK,1680549216
350,coari,-4.085,-63.1414,28.53,73,55,1.1,BR,1680549219
351,khani,41.9563,42.9566,6.76,87,100,1.89,GE,1680549221
352,mishan,45.55,131.8833,7.88,41,100,5.73,CN,1680549223
353,brasilia,-15.7797,-47.9297,19.51,88,75,3.6,BR,1680549225
354,mnogovershinnyy,53.9353,139.9242,-1.12,93,100,3.13,RU,1680549227
355,bhim tal,29.35,79.5667,12.79,58,59,2.6,IN,1680549230
356,buala,-8.145,159.5921,26.53,84,99,2.78,SB,1680549232
357,takoradi,4.8845,-1.7554,27.6,78,93,4.33,GH,1680549234
